slug,episode,local_file,r2_key,audioUrl
2018/11/episode-1.html,1,mp3/1- פרק 1 • הגאונים.m4a,episodes/2018/11/episode-1.m4a,https://audio.kedma.xyz/episodes/2018/11/episode-1.m4a
2018/11/blog-post_29.html,2,mp3/2- פרק 2 • רב סעדיה גאון.m4a,episodes/2018/11/blog-post_29.m4a,https://audio.kedma.xyz/episodes/2018/11/blog-post_29.m4a
2018/12/3.html,3,mp3/3- פרק 3 • הגניזה הקהירית.m4a,episodes/2018/12/3.m4a,https://audio.kedma.xyz/episodes/2018/12/3.m4a
2018/12/4.html,4,mp3/4- פרק 4 • תחילת תור הזהב בספרד.m4a,episodes/2018/12/4.m4a,https://audio.kedma.xyz/episodes/2018/12/4.m4a
2019/01/5.html,5,mp3/5- פרק 5 • רב משורר ורמטכל • שמואל הנגיד.m4a,episodes/2019/01/5.m4a,https://audio.kedma.xyz/episodes/2019/01/5.m4a
2019/01/6.html,6,mp3/6- פרק 6 • אבן עזרא.m4a,episodes/2019/01/6.m4a,https://audio.kedma.xyz/episodes/2019/01/6.m4a
2019/02/7.html,7,mp3/7- פרק 7 • מסעות בנימין מטודלה.m4a,episodes/2019/02/7.m4a,https://audio.kedma.xyz/episodes/2019/02/7.m4a
2019/02/8.html,8,mp3/8- פרק 8 • לאן נעלמו עשרת השבטים.m4a,episodes/2019/02/8.m4a,https://audio.kedma.xyz/episodes/2019/02/8.m4a
2019/03/9.html,9,mp3/9- פרק 9 • משיחי שקר.m4a,episodes/2019/03/9.m4a,https://audio.kedma.xyz/episodes/2019/03/9.m4a
2019/03/10.html,10,mp3/10- פרק 10 • שבתאי צבי.m4a,episodes/2019/03/10.m4a,https://audio.kedma.xyz/episodes/2019/03/10.m4a
2019/04/11.html,11,mp3/11- פרק 11 • מתי המציאו את האשכנזים.m4a,episodes/2019/04/11.m4a,https://audio.kedma.xyz/episodes/2019/04/11.m4a
2019/04/12.html,12,mp3/12- פרק 12 • רשי.m4a,episodes/2019/04/12.m4a,https://audio.kedma.xyz/episodes/2019/04/12.m4a
2019/05/13.html,13,mp3/13- פרק 13 • המשורר והכוזרי • רבי יהודה הלוי.m4a,episodes/2019/05/13.m4a,https://audio.kedma.xyz/episodes/2019/05/13.m4a
2019/05/14.html,14,mp3/14- פרק 14 • הנשר הגדול • חלק א.m4a,episodes/2019/05/14.m4a,https://audio.kedma.xyz/episodes/2019/05/14.m4a
2019/06/15.html,15,mp3/15- פרק 15 • הנשר הגדול • חלק ב.m4a,episodes/2019/06/15.m4a,https://audio.kedma.xyz/episodes/2019/06/15.m4a
2019/06/16.html,16,mp3/16- פרק 16 • המתרגמים • משפחת אבן תיבון.m4a,episodes/2019/06/16.m4a,https://audio.kedma.xyz/episodes/2019/06/16.m4a
2019/07/17.html,17,mp3/17- פרק 17 • מחבר העולמות • הרמבן.m4a,episodes/2019/07/17.m4a,https://audio.kedma.xyz/episodes/2019/07/17.m4a
2019/07/18.html,18,mp3/18- פרק 18 • חלוץ חוקרי הארץ • אשתורי הפרחי.m4a,episodes/2019/07/18.m4a,https://audio.kedma.xyz/episodes/2019/07/18.m4a
2019/08/19.html,19,mp3/19- פרק 19 • מי אתה יוספוס פלביוס.m4a,episodes/2019/08/19.m4a,https://audio.kedma.xyz/episodes/2019/08/19.m4a
2019/09/20.html,20,mp3/20- פרק 20 • הפילוסוף מברצלונה • רבי חסדאי קרשקש.m4a,episodes/2019/09/20.m4a,https://audio.kedma.xyz/episodes/2019/09/20.m4a
2019/10/21.html,21,mp3/21- פרק 21 • תולדות הלוח העברי.m4a,episodes/2019/10/21.m4a,https://audio.kedma.xyz/episodes/2019/10/21.m4a
2019/10/22.html,22,mp3/22- פרק 22 • מהפכת הדפוס העברי.m4a,episodes/2019/10/22.m4a,https://audio.kedma.xyz/episodes/2019/10/22.m4a
2019/11/23.html,23,mp3/23- פרק 23 • השבוי מאשכנז • המהרם מרוטנבורג.m4a,episodes/2019/11/23.m4a,https://audio.kedma.xyz/episodes/2019/11/23.m4a
2019/11/24.html,24,mp3/24- פרק 24 • החכם האשכנזי שברח לספרד • הראש.m4a,episodes/2019/11/24.m4a,https://audio.kedma.xyz/episodes/2019/11/24.m4a
2019/12/25.html,25,mp3/25- פרק 25 • דון יצחק אברבנאל • חלק א.m4a,episodes/2019/12/25.m4a,https://audio.kedma.xyz/episodes/2019/12/25.m4a
2020/01/26.html,26,mp3/26- פרק 26 • דון יצחק אברבנאל • חלק ב.m4a,episodes/2020/01/26.m4a,https://audio.kedma.xyz/episodes/2020/01/26.m4a
2020/02/27.html,27,mp3/27- פרק 27 • הצהרת כורש • העליה הראשונה הראשונה.m4a,episodes/2020/02/27.m4a,https://audio.kedma.xyz/episodes/2020/02/27.m4a
2020/02/28.html,28,mp3/28- פרק 28 • מגילת אסתר • הסיפור האמיתי.m4a,episodes/2020/02/28.m4a,https://audio.kedma.xyz/episodes/2020/02/28.m4a
2020/03/29.html,29,mp3/29- פרק 29 • נחמיה • איך בוחרים מנהיג.m4a,episodes/2020/03/29.m4a,https://audio.kedma.xyz/episodes/2020/03/29.m4a
2020/05/30.html,30,mp3/30- פרק 30 • מסע רבי נחמן לארץ ישראל.m4a,episodes/2020/05/30.m4a,https://audio.kedma.xyz/episodes/2020/05/30.m4a
2020/05/31.html,31,mp3/31- פרק 31 • חורבת רבי יהודה החסיד.m4a,episodes/2020/05/31.m4a,https://audio.kedma.xyz/episodes/2020/05/31.m4a
2020/06/32.html,32,mp3/32- פרק 32 • רבי שלום שבזי.m4a,episodes/2020/06/32.m4a,https://audio.kedma.xyz/episodes/2020/06/32.m4a
2020/07/33.html,33,mp3/33- פרק 33 • מרד בר כוכבא.m4a,episodes/2020/07/33.m4a,https://audio.kedma.xyz/episodes/2020/07/33.m4a
2020/08/34.html,34,mp3/34- פרק 34 • מרן • רבי יוסף קארו.m4a,episodes/2020/08/34.m4a,https://audio.kedma.xyz/episodes/2020/08/34.m4a
2020/09/35.html,35,mp3/35- פרק 35 • הרמא מקראקוב • רבי משה איסרליש.m4a,episodes/2020/09/35.m4a,https://audio.kedma.xyz/episodes/2020/09/35.m4a
2020/10/36.html,36,mp3/36- פרק 36 • אברהם זכות.m4a,episodes/2020/10/36.m4a,https://audio.kedma.xyz/episodes/2020/10/36.m4a
2020/10/37.html,37,mp3/37- פרק 37 • המהרל מפראג.m4a,episodes/2020/10/37.m4a,https://audio.kedma.xyz/episodes/2020/10/37.m4a
2020/11/38.html,38,mp3/38- פרק 38 • דונה גרציה.m4a,episodes/2020/11/38.m4a,https://audio.kedma.xyz/episodes/2020/11/38.m4a
2020/12/39.html,39,mp3/39- פרק 39 • מאי חנוכה.m4a,episodes/2020/12/39.m4a,https://audio.kedma.xyz/episodes/2020/12/39.m4a
2020/12/40.html,40,mp3/40- פרק 40 • יונתן החשמונאי.m4a,episodes/2020/12/40.m4a,https://audio.kedma.xyz/episodes/2020/12/40.m4a
2021/01/41.html,41,mp3/41- פרק 41 • המגילות הגנוזות.m4a,episodes/2021/01/41.m4a,https://audio.kedma.xyz/episodes/2021/01/41.m4a
2021/02/42.html,42,mp3/42- פרק 42 • שלומציון המלכה.m4a,episodes/2021/02/42.m4a,https://audio.kedma.xyz/episodes/2021/02/42.m4a
2021/03/43.html,43,mp3/43- פרק 43 • הרב הפיראט • דון שמואל פלאג'י.m4a,episodes/2021/03/43.m4a,https://audio.kedma.xyz/episodes/2021/03/43.m4a
2021/04/44.html,44,mp3/44- פרק 44 • הזוהר.m4a,episodes/2021/04/44.m4a,https://audio.kedma.xyz/episodes/2021/04/44.m4a
2021/06/45.html,45,mp3/45- פרק 45 • הארי הקדוש.m4a,episodes/2021/06/45.m4a,https://audio.kedma.xyz/episodes/2021/06/45.m4a
2021/07/46.html,46,mp3/46- פרק 46 • הורדוס.m4a,episodes/2021/07/46.m4a,https://audio.kedma.xyz/episodes/2021/07/46.m4a
2021/08/47.html,47,mp3/47- פרק 47 • דוד גנז.m4a,episodes/2021/08/47.m4a,https://audio.kedma.xyz/episodes/2021/08/47.m4a
2021/10/48.html,48,mp3/48- פרק 48 • מנשה בן ישראל.m4a,episodes/2021/10/48.m4a,https://audio.kedma.xyz/episodes/2021/10/48.m4a
2021/11/49.html,49,mp3/49- פרק 49 • השמיטה הראשונה של עקרון.m4a,episodes/2021/11/49.m4a,https://audio.kedma.xyz/episodes/2021/11/49.m4a
2022/01/50.html,50,mp3/50- פרק 50 • הרב קוק והשמיטה.mp3,episodes/2022/01/50.mp3,https://audio.kedma.xyz/episodes/2022/01/50.mp3
2022/02/51.html,51,mp3/51- פרק 51 • אש המחלוקת בפרובנס.mp3,episodes/2022/02/51.mp3,https://audio.kedma.xyz/episodes/2022/02/51.mp3
2022/03/52.html,52,mp3/52- פרק 52 • רבי משה חיים לוצאטו • הרמח״ל.mp3,episodes/2022/03/52.mp3,https://audio.kedma.xyz/episodes/2022/03/52.mp3
2022/04/53.html,53,mp3/53- פרק 53 • הבעל שם טוב.mp3,episodes/2022/04/53.mp3,https://audio.kedma.xyz/episodes/2022/04/53.mp3
2022/06/54.html,54,mp3/54- פרק 54 • החסידות.mp3,episodes/2022/06/54.mp3,https://audio.kedma.xyz/episodes/2022/06/54.mp3
2022/08/55.html,55,mp3/55- פרק 55 • הגאון מווילנה.mp3,episodes/2022/08/55.mp3,https://audio.kedma.xyz/episodes/2022/08/55.mp3
2022/09/56.html,56,mp3/56- פרק 56 • בעל התניא • רבי שנאור זלמן מלאדי.mp3,episodes/2022/09/56.mp3,https://audio.kedma.xyz/episodes/2022/09/56.mp3
2022/11/57.html,57,mp3/57- פרק 57 • עליית תקל״ז • עליית החסידים.mp3,episodes/2022/11/57.mp3,https://audio.kedma.xyz/episodes/2022/11/57.mp3
2023/01/58.html,58,mp3/58- פרק 58 • המסע המופלא של החיד״א.mp3,episodes/2023/01/58.mp3,https://audio.kedma.xyz/episodes/2023/01/58.mp3
2023/02/59.html,59,mp3/59- פרק 59 • חיים פרחי • השר מעכו.mp3,episodes/2023/02/59.mp3,https://audio.kedma.xyz/episodes/2023/02/59.mp3
2023/04/60.html,60,mp3/60- פרק 60 • הרב יהודה אלקלעי • החוזה הראשון.mp3,episodes/2023/04/60.mp3,https://audio.kedma.xyz/episodes/2023/04/60.mp3
2023/07/61.html,61,mp3/61- פרק 61 • כנסת הגדולה.mp3,episodes/2023/07/61.mp3,https://audio.kedma.xyz/episodes/2023/07/61.mp3
2023/09/62.html,62,mp3/62- פרק 62 • תרגום השבעים.m4a,episodes/2023/09/62.m4a,https://audio.kedma.xyz/episodes/2023/09/62.m4a
2023/11/63.html,63,mp3/63- פרק 63 • המשורר מעזה • רבי ישראל נג׳ארה.m4a,episodes/2023/11/63.m4a,https://audio.kedma.xyz/episodes/2023/11/63.m4a
2023/12/64.html,64,mp3/64- פרק 64 • החכם מאלכסנדריה • פילון האלכסנדרוני.mp3,episodes/2023/12/64.mp3,https://audio.kedma.xyz/episodes/2023/12/64.mp3
2024/03/65.html,65,mp3/65- פרק 65 • רבי יהודה הנשיא.mp3,episodes/2024/03/65.mp3,https://audio.kedma.xyz/episodes/2024/03/65.mp3
2024/05/66.html,66,mp3/66- פרק 66 • התלמוד הירושלמי.mp3,episodes/2024/05/66.mp3,https://audio.kedma.xyz/episodes/2024/05/66.mp3
2024/05/67.html,67,mp3/67- פרק 67 • ל״ג בעומר במירון.mp3,episodes/2024/05/67.mp3,https://audio.kedma.xyz/episodes/2024/05/67.mp3
2024/08/68.html,68,mp3/68- פרק 68 • סורא ופומבדיתא.mp3,episodes/2024/08/68.mp3,https://audio.kedma.xyz/episodes/2024/08/68.mp3
2024/10/69.html,69,mp3/69- פרק 69 • לאן נעלמו יהודי ח׳יבר.mp3,episodes/2024/10/69.mp3,https://audio.kedma.xyz/episodes/2024/10/69.mp3
2025/01/70.html,70,mp3/70- פרק 70 • בעלי התוספות.mp3,episodes/2025/01/70.mp3,https://audio.kedma.xyz/episodes/2025/01/70.mp3
2025/03/71.html,71,mp3/71- פרק 71 • רבינו תם.mp3,episodes/2025/03/71.mp3,https://audio.kedma.xyz/episodes/2025/03/71.mp3
2025/07/72.html,72,mp3/72-פרק 72 עליית בעלי התוספות.mp3,episodes/2025/07/72.mp3,https://audio.kedma.xyz/episodes/2025/07/72.mp3
2025/09/73.html,73,mp3/73 פרק 73 אבן גבירול.mp3,episodes/2025/09/73.mp3,https://audio.kedma.xyz/episodes/2025/09/73.mp3
2025/11/74.html,74,mp3/74 פרק 74 הרלבג.mp3,episodes/2025/11/74.mp3,https://audio.kedma.xyz/episodes/2025/11/74.mp3
2025/12/75.html,75,mp3/75 פרק 75 יהדות תוניסיה.mp3,episodes/2025/12/75.mp3,https://audio.kedma.xyz/episodes/2025/12/75.mp3
2026/02/76.html,76,mp3/76 פרק 76 הרב חלפון.mp3,episodes/2026/02/76.mp3,https://audio.kedma.xyz/episodes/2026/02/76.mp3
2026/05/77.html,77,mp3/77 פרק 77 אור החיים הקדוש.mp3,episodes/2026/05/77.mp3,https://audio.kedma.xyz/episodes/2026/05/77.mp3
